record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
EMSC-20161026_0000095__LSS__0,EMSC-20161026_0000095,LSS,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=LSS&data-type=ACC,downloaded,200,,,2026-03-17T07:32:51.051791+00:00
IT-2009-0121__CHT__0,IT-2009-0121,CHT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0121&station=CHT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:51.409956+00:00
IT-2009-0095__RM03__0,IT-2009-0095,RM03,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0095&station=RM03&data-type=ACC,downloaded,200,,,2026-03-17T07:32:51.665007+00:00
EMSC-20161030_0000029__GBC__0,EMSC-20161030_0000029,GBC,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161030_0000029&station=GBC&data-type=ACC,downloaded,200,,,2026-03-17T07:32:52.048487+00:00
EMSC-20160824_0000006__TER__0,EMSC-20160824_0000006,TER,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000006&station=TER&data-type=ACC,downloaded,200,,,2026-03-17T07:32:52.347365+00:00
EMSC-20160824_0000013__TLN__0,EMSC-20160824_0000013,TLN,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000013&station=TLN&data-type=ACC,downloaded,200,,,2026-03-17T07:32:52.643393+00:00
EMSC-20161026_0000095__T1216__0,EMSC-20161026_0000095,T1216,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=T1216&data-type=ACC,downloaded,200,,,2026-03-17T07:32:52.933792+00:00
EMSC-20160824_0000013__AMT__0,EMSC-20160824_0000013,AMT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20160824_0000013&station=AMT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:53.186271+00:00
IT-1998-0054__SELW__0,IT-1998-0054,SELW,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-1998-0054&station=SELW&data-type=ACC,downloaded,200,,,2026-03-17T07:32:53.434434+00:00
IT-2012-0008__ZEN8__0,IT-2012-0008,ZEN8,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0008&station=ZEN8&data-type=ACC,downloaded,200,,,2026-03-17T07:32:53.828328+00:00
