lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
35.2,26.18213,3,800,TRUE,128.19,31.07,0.57
35.2,26.28213,3,800,TRUE,128.73,31.07,0.57
35.2,26.38213,3,800,TRUE,129.89,31.07,0.57
35.2,26.48213,3,800,TRUE,131.66,31.07,0.57
35.2,26.58213,3,800,TRUE,134,31.07,0.57
35.2,26.68213,3,800,TRUE,136.48,31.07,0.57
35.2,26.78213,3,800,TRUE,138.95,31.07,0.57
35.2,26.88213,3,800,TRUE,141.41,31.07,0.57
35.2,32.38213,0,800,TRUE,115.07,31.07,0.57
35.2,32.48213,0,800,TRUE,112.43,31.07,0.57
35.2,32.58213,0,800,TRUE,110.46,31.07,0.57
35.2,32.68213,0,800,TRUE,109.21,31.07,0.57
35.2,32.78213,2,800,TRUE,108.62,31.07,0.57
35.2,32.88213,2,800,TRUE,108.13,31.07,0.57
35.2,32.98213,2,800,TRUE,107.63,31.07,0.57
35.2,33.08213,2,800,TRUE,107.12,31.07,0.57
35.2,33.18213,2,800,TRUE,106.6,31.07,0.57
35.2,33.28213,2,800,TRUE,106.07,31.07,0.57
35.2,33.38213,2,800,TRUE,105.53,31.07,0.57
35.2,33.48213,2,800,TRUE,104.99,31.07,0.57
35.2,33.58213,2,800,TRUE,104.43,31.07,0.57
35.2,33.68213,2,800,TRUE,103.86,31.07,0.57
35.2,33.78213,2,800,TRUE,103.52,31.07,0.57
35.2,33.88213,2,800,TRUE,103.93,31.07,0.57
35.2,33.98213,2,800,TRUE,105.12,31.07,0.57
35.2,34.08213,2,800,TRUE,107.07,31.07,0.57
35.2,34.18213,2,800,TRUE,109.72,31.07,0.57
35.2,34.28213,2,800,TRUE,113.04,31.07,0.57
35.2,34.38213,2,800,TRUE,116.96,31.07,0.57
35.2,32.08213,4,800,TRUE,126.59,31.07,0.57
35.2,32.18213,4,800,TRUE,122.21,31.07,0.57
35.2,32.28213,4,800,TRUE,118.35,31.07,0.57
35.3,27.08213,0,800,TRUE,135.59,31.07,0.57
35.3,27.18213,0,800,TRUE,138.02,31.07,0.57
35.3,27.28213,0,800,TRUE,140.44,31.07,0.57
35.3,27.38213,0,800,TRUE,142.85,31.07,0.57
35.3,23.28213,1,800,TRUE,150,31.07,0.57
35.3,23.38213,1,800,TRUE,150,31.07,0.57
35.3,23.48213,3,800,TRUE,150,31.07,0.57
35.3,23.58213,3,800,TRUE,150,31.07,0.57
35.3,23.68213,3,800,TRUE,150,31.07,0.57
35.3,23.78213,3,800,TRUE,150,31.07,0.57
35.3,23.88213,3,800,TRUE,150,31.07,0.57
35.3,23.98213,3,800,TRUE,150,31.07,0.57
35.3,24.08213,3,800,TRUE,150,31.07,0.57
35.3,24.18213,3,800,TRUE,150,31.07,0.57
35.3,24.28213,3,800,TRUE,148.66,31.07,0.57
35.3,24.38213,3,800,TRUE,145.23,31.07,0.57
35.3,24.48213,3,800,TRUE,141.81,31.07,0.57
35.3,24.58213,3,800,TRUE,138.37,31.07,0.57
35.3,24.68213,3,800,TRUE,134.92,31.07,0.57
35.3,24.78213,3,800,TRUE,131.47,31.07,0.57
35.3,24.88213,3,800,TRUE,128.33,31.07,0.57
35.3,24.98213,3,800,TRUE,125.77,31.07,0.57
35.3,25.08213,3,800,TRUE,123.8,31.07,0.57
35.3,25.18213,3,800,TRUE,122.48,31.07,0.57
35.3,25.28213,3,800,TRUE,121.78,31.07,0.57
35.3,25.38213,3,800,TRUE,121.23,31.07,0.57
35.3,25.48213,3,800,TRUE,120.68,31.07,0.57
35.3,25.58213,3,800,TRUE,120.11,31.07,0.57
35.3,25.68213,3,800,TRUE,119.54,31.07,0.57
35.3,25.78213,3,800,TRUE,118.96,31.07,0.57
35.3,25.88213,3,800,TRUE,118.37,31.07,0.57
35.3,25.98213,3,800,TRUE,117.77,31.07,0.57
35.3,26.08213,3,800,TRUE,117.18,31.07,0.57
35.3,26.18213,3,800,TRUE,117.07,31.07,0.57
35.3,26.28213,3,800,TRUE,117.66,31.07,0.57
35.3,26.38213,3,800,TRUE,118.93,31.07,0.57
35.3,26.48213,3,800,TRUE,120.86,31.07,0.57
35.3,26.58213,3,800,TRUE,123.31,31.07,0.57
35.3,26.68213,3,800,TRUE,125.78,31.07,0.57
35.3,26.78213,3,800,TRUE,128.25,31.07,0.57
35.3,26.88213,3,800,TRUE,130.7,31.07,0.57
35.3,26.98213,3,800,TRUE,133.15,31.07,0.57
35.3,32.48213,0,800,TRUE,101.72,31.07,0.57
35.3,32.58213,0,800,TRUE,99.54,31.07,0.57
35.3,32.68213,0,800,TRUE,98.15,31.07,0.57
35.3,32.78213,2,800,TRUE,97.52,31.07,0.57
35.3,32.88213,2,800,TRUE,97.03,31.07,0.57
35.3,32.98213,2,800,TRUE,96.53,31.07,0.57
35.3,33.08213,2,800,TRUE,96.02,31.07,0.57
35.3,33.18213,2,800,TRUE,95.5,31.07,0.57
35.3,33.28213,2,800,TRUE,94.97,31.07,0.57
35.3,33.38213,2,800,TRUE,94.43,31.07,0.57
35.3,33.48213,2,800,TRUE,93.89,31.07,0.57
35.3,33.58213,2,800,TRUE,93.33,31.07,0.57
35.3,33.68213,2,800,TRUE,92.77,31.07,0.57
35.3,33.78213,2,800,TRUE,92.4,31.07,0.57
35.3,33.88213,2,800,TRUE,92.86,31.07,0.57
35.3,33.98213,2,800,TRUE,94.19,31.07,0.57
35.3,34.08213,2,800,TRUE,96.36,31.07,0.57
35.3,34.18213,2,800,TRUE,99.29,31.07,0.57
35.3,34.28213,2,800,TRUE,102.94,31.07,0.57
35.3,34.38213,2,800,TRUE,107.23,31.07,0.57
35.3,34.48213,2,800,TRUE,111.92,31.07,0.57
35.3,32.08213,4,800,TRUE,117.16,31.07,0.57
35.3,32.18213,4,800,TRUE,112.42,31.07,0.57
35.3,32.28213,4,800,TRUE,108.22,31.07,0.57
35.3,32.38213,4,800,TRUE,104.63,31.07,0.57
35.4,27.28213,0,800,TRUE,129.73,31.07,0.57
35.4,27.38213,0,800,TRUE,132.13,31.07,0.57
35.4,27.48213,0,800,TRUE,134.72,31.07,0.57
35.4,23.28213,1,800,TRUE,150,31.07,0.57
35.4,23.38213,3,800,TRUE,150,31.07,0.57
35.4,23.48213,3,800,TRUE,150,31.07,0.57
35.4,23.58213,3,800,TRUE,150,31.07,0.57
35.4,23.68213,3,800,TRUE,150,31.07,0.57
35.4,23.78213,3,800,TRUE,150,31.07,0.57
35.4,23.88213,3,800,TRUE,150,31.07,0.57
35.4,23.98213,3,800,TRUE,148.39,31.07,0.57
35.4,24.08213,3,800,TRUE,145.16,31.07,0.57
35.4,24.18213,3,800,TRUE,141.76,31.07,0.57
35.4,24.28213,3,800,TRUE,138.36,31.07,0.57
35.4,24.38213,3,800,TRUE,134.94,31.07,0.57
35.4,24.48213,3,800,TRUE,131.51,31.07,0.57
35.4,24.58213,3,800,TRUE,128.08,31.07,0.57
35.4,24.68213,3,800,TRUE,124.64,31.07,0.57
35.4,24.78213,3,800,TRUE,121.18,31.07,0.57
35.4,24.88213,3,800,TRUE,117.83,31.07,0.57
35.4,24.98213,3,800,TRUE,115.03,31.07,0.57
35.4,25.08213,3,800,TRUE,112.89,31.07,0.57
35.4,25.18213,3,800,TRUE,111.43,31.07,0.57
35.4,25.28213,3,800,TRUE,110.68,31.07,0.57
35.4,25.38213,3,800,TRUE,110.13,31.07,0.57
35.4,25.48213,3,800,TRUE,109.58,31.07,0.57
35.4,25.58213,3,800,TRUE,109.02,31.07,0.57
35.4,25.68213,3,800,TRUE,108.44,31.07,0.57
35.4,25.78213,3,800,TRUE,107.86,31.07,0.57
35.4,25.88213,3,800,TRUE,107.27,31.07,0.57
35.4,25.98213,3,800,TRUE,106.67,31.07,0.57
35.4,26.08213,3,800,TRUE,106.07,31.07,0.57
35.4,26.18213,3,800,TRUE,105.96,31.07,0.57
35.4,26.28213,3,800,TRUE,106.61,31.07,0.57
35.4,26.38213,3,800,TRUE,108.01,31.07,0.57
35.4,26.48213,3,800,TRUE,110.13,31.07,0.57
35.4,26.58213,3,800,TRUE,112.61,31.07,0.57
35.4,26.68213,3,800,TRUE,115.08,31.07,0.57
35.4,26.78213,3,800,TRUE,117.54,31.07,0.57
35.4,26.88213,3,800,TRUE,120,31.07,0.57
35.4,26.98213,3,800,TRUE,122.44,31.07,0.57
35.4,27.08213,3,800,TRUE,124.88,31.07,0.57
35.4,27.18213,3,800,TRUE,127.31,31.07,0.57
35.4,32.58213,0,800,TRUE,88.67,31.07,0.57
35.4,32.68213,0,800,TRUE,87.11,31.07,0.57
35.4,32.78213,0,800,TRUE,86.41,31.07,0.57
