record_identifier,component,database
EMSC-20161026_0000077_AMT_0,V,ESM
IT-2009-0009_CLN_0,U,ESM
EMSC-20160824_0000006_AQU_0,V,ESM
EMSC-20161026_0000095_MCT_0,V,ESM
EMSC-20161026_0000095_TLN_0,V,ESM
IT-2009-0102_RM14_0,V,ESM
TK-1999-0077_4101_0,V,ESM
IT-2009-0009_MTR_0,U,ESM
TK-1999-0077_ARC_0,U,ESM
EMSC-20161030_0000029_PCB_0,U,ESM
IT-2009-0102_RM04_0,U,ESM
GE-1991-0003_SONB_0,U,ESM
IT-2012-0061_SDN_0,U,ESM
IT-2009-0121_RM05_0,U,ESM
EMSC-20161026_0000077_ACC_0,V,ESM
ME-1979-0002_ULA_0,V,ESM
IT-1984-0002_GBB_0,V,ESM
EMSC-20160824_0000006_PZI1_0,V,ESM
EMSC-20161030_0000029_TRE1_0,V,ESM
IT-2009-0121_BZZ_0,V,ESM
IT-2013-0019_BOI_0,V,ESM
IT-1997-0091_CLC_0,V,ESM
IT-2012-0061_SALB_0,U,ESM
IT-2009-0102_MI02_0,V,ESM
IT-2009-0102_RM05_0,V,ESM
IT-2009-0102_RM13_0,V,ESM
EMSC-20161030_0000029_SNO_0,U,ESM
IT-2013-0019_VAGA_0,U,ESM
IT-2009-0095_AQP_0,V,ESM
EMSC-20160824_0000006_AQA_0,U,ESM
IT-2013-0019_GSN_0,V,ESM
EMSC-20161026_0000077_T1201_0,U,ESM
EMSC-20161026_0000095_GUMA_0,V,ESM
IT-2013-0019_CMB_0,V,ESM
IT-1997-0128_CESM_0,U,ESM
IT-2009-0102_CLN_0,V,ESM
EMSC-20161026_0000095_LSS_0,V,ESM
IT-2013-0019_BSSO_0,U,ESM
IT-2009-0121_RM02_0,V,ESM
EMSC-20161026_0000077_NOR_0,V,ESM
IT-1978-0004_PTT1_0,V,ESM
EMSC-20161026_0000077_CNE_0,U,ESM
IT-1977-0008_TLM1_0,V,ESM
IT-2013-0019_PDM_0,U,ESM
EMSC-20151006_0000093_DEMR_0,U,ESM
IT-2009-0140_MTR_0,U,ESM
IT-2009-0102_MI01_0,V,ESM
IT-2009-0140_MTR_0,V,ESM
EMSC-20161030_0000029_T1216_0,U,ESM
ME-1979-0003_PETO_0,V,ESM
IT-1984-0004_ORT_0,V,ESM
1002204,H1,NGASub
7001230,H1,NGASub
4033863,H1,NGASub
4033694,H1,NGASub
7001833,H1,NGASub
7007992,H2,NGASub
3000401,H2,NGASub
6001857,H1,NGASub
7007976,H2,NGASub
7012021,H2,NGASub
6001762,H2,NGASub
EMSC-20130616_0000095_ZKR_0,V,ESM
7004721,H1,NGASub
3001440,H1,NGASub
7004989,H2,NGASub
7004720,H2,NGASub
7004941,H2,NGASub
EMSC-20160824_0000006_BZZ_0,U,ESM
EMSC-20160824_0000006_GAG1_0,U,ESM
GR-1997-0014_KRN1_0,U,ESM
EMSC-20161026_0000077_T1216_0,U,ESM
7006364,H1,NGASub
7010201,H1,NGASub
7004896,H2,NGASub
7010681,H2,NGASub
7004685,H1,NGASub
7008065,H2,NGASub
4040644,H2,NGASub
7012033,H2,NGASub
7008087,H2,NGASub
7008044,H2,NGASub
3000400,H1,NGASub
4033810,H1,NGASub
IT-2008-0004_PNM_0,V,ESM
7008022,H2,NGASub
4028535,H2,NGASub
6001777,H1,NGASub
7004723,H1,NGASub
7004711,H2,NGASub
IT-2002-0045_ORC_0,V,ESM
IT-2012-0010_MIR06_0,U,ESM
IT-2009-0121_RM14_0,V,ESM
2001560,H1,NGASub
2000904,H1,NGASub
7007970,H2,NGASub
4003091,H2,NGASub
7004725,H2,NGASub
3000405,H2,NGASub
7001956,H2,NGASub
3000381,H2,NGASub
3000382,H2,NGASub
3000387,H2,NGASub
7004899,H1,NGASub
EMSC-20160824_0000006_MCT_0,V,ESM
EMSC-20161026_0000077_T1217_0,U,ESM
EMSC-20161026_0000077_T1218_0,U,ESM
7011341,H2,NGASub
7001154,H1,NGASub
7001969,H2,NGASub
4033698,H1,NGASub
