record_identifier,component
IT-2013-0005_BRB_0,V
EMSC-20160824_0000006_CSN_0,U
EMSC-20160824_0000006_CSO1_0,U
IT-2012-0010_MOGG_0,V
IT-2008-0004_GNV_0,V
TK-2003-0182_1007_0,V
EMSC-20161026_0000077_CMI_0,U
EMSC-20130108_0000044_YDRA_0,U
EMSC-20101103_0000003_BLY_0,U
GE-1991-0003_SONB_0,V
IT-2009-0121_RM11_0,V
EMSC-20161026_0000077_CNE_0,V
IT-2009-0102_RM03_0,V
EMSC-20160824_0000013_NRC_0,V
IT-2009-0121_MI02_0,V
EMSC-20150416_0000081_IMMV_0,U
IT-2012-0011_SULZ_0,V
TK-2003-0030_1007_0,V
IT-2013-0005_MNTP_0,V
SY-1996-0001_SUAN_0,V
EMSC-20150416_0000081_ANKY_0,U
IT-2009-0009_ISR_0,V
EMSC-20130108_0000044_PRK_0,V
EMSC-20140126_0000046_SALB_0,V
EMSC-20161028_0000138_SIRI_0,V
EMSC-20161030_0000029_SABO_0,V
IT-2009-0121_BRS_0,V
IT-2009-0121_RM03_0,U
EMSC-20161030_0000029_TSC_0,V
TK-2004-0089_4401_0,V
EMSC-20161026_0000095_NRN_0,U
IT-2013-0005_MTRZ_0,V
EMSC-20161026_0000077_MURB_0,U
EMSC-20140126_0000085_KTHA_0,V
IT-2012-0008_SENIN_0,V
TK-1999-0294_1604_0,V
EMSC-20111123_0000028_ZKR_0,U
GR-1999-0001_ATH2_0,U
EMSC-20160824_0000006_CPS_0,V
IT-2012-0010_ATLO_0,U
IT-1997-0004_CSC_0,V
IT-2013-0005_NCER_0,U
EMSC-20161026_0000095_DOSS_0,V
EMSC-20161030_0000029_BSS_0,V
EMSC-20161026_0000095_MURB_0,V
IT-1980-0012_MRT_0,V
EMSC-20160824_0000006_TOD_0,V
IT-2009-0009_CHT_0,V
EMSC-20161026_0000095_FOPC_0,V
EMSC-20161026_0000095_T1214_0,U
EMSC-20161030_0000029_MPRI_0,V
EMSC-20161026_0000095_SNO_0,V
IT-2009-0009_VIE_0,V
EMSC-20140126_0000046_BERA1_0,U
IT-2012-0008_SMZW_0,V
IT-2012-0008_BOURR_0,U
EMSC-20161028_0000138_SIRI_0,U
IT-2012-0008_TVR_0,U
IT-2002-0024_CDI_0,U
EMSC-20151117_0000025_CAR1_0,V
IT-2009-0102_AQF_0,U
EMSC-20160824_0000006_MGAB_0,U
IT-2012-0011_CTL8_0,V
IT-1997-0004_AQK_0,V
IT-2012-0008_LNG_0,U
EMSC-20161026_0000095_T1214_0,V
EMSC-20150416_0000081_IACM_0,U
IT-2012-0011_SFRA_0,U
IT-2009-0009_MMP_0,U
IT-2012-0010_CAFI_0,V
IT-2012-0008_MTRZ_0,U
EMSC-20161026_0000095_SSO_0,U
IT-2009-0009_ISR_0,U
IT-2012-0011_SURF_0,V
IT-2012-0011_FIR_0,U
IT-2012-0008_SNZ1_0,U
EMSC-20161026_0000095_MCV_0,V
IT-2012-0010_MMUR_0,U
IT-2002-0024_CDI_0,V
EMSC-20151117_0000025_CEL_0,U
EMSC-20160824_0000006_PSC_0,V
IT-2012-0008_PZS_0,U
EMSC-20160824_0000006_SPM_0,V
IT-2012-0010_SFI_0,U
EMSC-20160824_0000006_ROVR_0,U
EMSC-20140203_0000008_JOPP_0,U
IT-2012-0008_GUMA_0,U
EMSC-20161030_0000029_0MBT_0,V
EMSC-20161026_0000095_CADA_0,U
IT-1997-0137_NCR_0,U
TK-2007-0024_4401_0,V
IT-2012-0008_MCT_0,U
EMSC-20131012_0000044_ANKY_0,U
EMSC-20131012_0000044_IMMV_0,U
EMSC-20160824_0000006_SNO_0,U
IT-1980-0012_TDG_0,U
IT-2012-0011_UMB_0,V
IT-2009-0009_VIE_0,U
EMSC-20161030_0000029_ZOVE_0,V
IT-2012-0008_AUL_0,V
IT-2012-0008_LNG_0,V
IT-2013-0019_BSSO_0,V
IT-2009-0140_RM06_0,V
EMSC-20160824_0000013_CSC_0,U
IT-2009-0140_RM09_0,U
IT-2009-0140_RM05_0,U
IT-1976-0027_FRC_0,V
IT-2009-0102_AQP_0,U
GR-1986-0011_KAL1_0,V
IT-2012-0008_SDV_0,U
IT-2013-0005_FIAM_0,U
EMSC-20130108_0000044_NOAC_0,V
IT-2012-0011_PRT_0,U
TK-1996-0032_6002_0,V
EMSC-20160824_0000006_AQV_0,V
IT-2008-0004_AUL_0,V
EMSC-20140126_0000085_ITM_0,U
EMSC-20161030_0000029_T1214_0,V
IT-2009-0102_AQM_0,U
TK-1999-0077_YKP_0,V
GR-1995-0047_AIGA_0,U
IT-2012-0008_IMOL_0,V
IT-2012-0008_MRZ_0,V
IT-2012-0008_CSP_0,V
EMSC-20161030_0000029_TOD_0,U
IT-2009-0009_SPO_0,U
IT-2012-0008_IMOL_0,U
IT-1980-0012_TDG_0,V
EMSC-20140126_0000046_MGNA_0,V
EMSC-20151117_0000025_SIRI_0,V
EMSC-20140126_0000046_CUC_0,V
EMSC-20140126_0000046_PIPA_0,U
TK-1999-0415_3401_0,U
EMSC-20151117_0000025_ITM_0,V
EMSC-20140203_0000008_CAR1_0,U
IT-2009-0009_AQA_0,U
EMSC-20140203_0000008_SDA_0,U
EMSC-20140126_0000046_JOPP_0,V
EMSC-20151117_0000025_ACER_0,V
IT-2009-0009_GSA_0,V
