im,site,region,stripe_iml,stripe_return_period,n_required,n_required_ngasub,n_required_esm,n_available,n_missing,n_missing_ngasub,n_missing_esm,stripe_complete,site_im_complete
AvgSA_03,39,1,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.6049,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.4,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.36,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.33,,30,0,30,30,0,0,0,True,True
AvgSA_03,40,2,0.31,,30,0,30,30,0,0,0,True,True
AvgSA_03,41,2,0.95,,30,4,26,30,0,0,0,True,True
AvgSA_03,41,2,0.8,,30,4,26,30,0,0,0,True,True
AvgSA_03,41,2,0.65,,30,4,26,30,0,0,0,True,True
AvgSA_03,41,2,0.55,,30,4,26,30,0,0,0,True,True
AvgSA_03,41,2,0.5,,30,4,26,30,0,0,0,True,True
AvgSA_03,41,2,0.45,,30,6,24,30,0,0,0,True,True
AvgSA_03,41,2,0.4,,30,5,25,30,0,0,0,True,True
AvgSA_03,41,2,0.36,,30,7,23,30,0,0,0,True,True
AvgSA_03,42,2,0.8,,30,19,11,30,0,0,0,True,False
AvgSA_03,42,2,0.7892,,30,19,11,29,1,1,0,False,False
AvgSA_03,42,2,0.7139,,30,18,12,29,1,1,0,False,False
AvgSA_03,42,2,0.65,,30,17,13,30,0,0,0,True,False
AvgSA_03,42,2,0.55,,30,15,15,30,0,0,0,True,False
AvgSA_03,42,2,0.5,,30,20,10,30,0,0,0,True,False
AvgSA_03,42,2,0.4,,30,19,11,30,0,0,0,True,False
AvgSA_03,42,2,0.36,,30,13,17,30,0,0,0,True,False
AvgSA_03,43,2,1.15,,30,0,30,30,0,0,0,True,True
AvgSA_03,43,2,0.95,,30,0,30,30,0,0,0,True,True
